,City,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country,Date
274,La Plata,-34.92,-57.95,46.99,77,13,13.02,AR,1603258315
275,Cervo,43.67,-7.41,57.0,100,76,7.0,ES,1603258462
276,Krasnosel'kup,65.7,82.47,27.81,98,100,11.01,RU,1603258463
277,Kozhva,65.11,57.05,26.19,96,98,2.53,RU,1603258463
278,San Jerónimo,-11.95,-75.28,51.44,68,80,3.65,PE,1603258463
279,Port Shepstone,-30.74,30.45,66.13,70,94,4.7,ZA,1603258463
280,Champerico,14.3,-91.92,66.0,97,94,5.44,GT,1603258464
281,Springfield,37.22,-93.3,59.0,100,90,8.05,US,1603258464
282,Chumikan,54.72,135.31,39.94,71,100,7.74,RU,1603258464
283,Nelson Bay,-32.72,152.15,72.0,56,20,17.22,AU,1603258464
284,Yumen,40.28,97.2,65.48,21,0,15.73,CN,1603258464
285,Khasan,42.43,130.64,60.48,74,100,16.31,RU,1603258465
286,Pangai,-19.8,-174.35,75.2,57,75,13.87,TO,1603258465
287,Mastic Beach,40.77,-72.85,62.6,93,90,4.7,US,1603258465
288,Ossora,59.24,163.07,35.91,94,100,15.43,RU,1603258466
289,Itarema,-2.92,-39.92,79.59,74,29,15.64,BR,1603258466
290,Coyhaique,-45.58,-72.07,35.6,93,0,1.12,CL,1603258466
291,Kristinehamn,59.31,14.11,48.2,100,99,10.29,SE,1603258466
292,Saýat,38.78,63.88,64.4,18,0,4.7,TM,1603258466
293,Vila Velha,-20.33,-40.29,68.0,94,90,8.05,BR,1603258467
294,Vancouver,49.25,-123.12,48.99,93,40,6.93,CA,1603258316
295,Peace River,56.25,-117.29,19.4,67,40,14.99,CA,1603258467
296,Springbok,-29.66,17.89,63.16,27,54,17.45,ZA,1603258467
297,Alekseyevsk,57.84,108.35,31.39,95,100,9.06,RU,1603258467
298,Camocim,-2.9,-40.84,77.58,79,30,13.02,BR,1603258468
299,Weiser,44.25,-116.97,55.4,58,75,3.22,US,1603258468
300,Port Hedland,-20.32,118.57,86.0,51,85,19.46,AU,1603258468
301,Bara,10.37,10.73,74.73,67,34,4.52,NG,1603258468
302,Karpathos,35.51,27.21,68.0,77,40,21.92,GR,1603258468
303,Kayes,14.0,-11.0,75.94,28,21,1.03,ML,1603258469
304,Chauk,20.88,94.82,79.68,82,98,4.83,MM,1603258469
305,Ipoh,4.58,101.08,77.0,88,40,5.82,MY,1603258469
306,Lázaro Cárdenas,17.96,-102.2,78.76,90,19,3.98,MX,1603258469
307,Sosnogorsk,63.6,53.88,28.89,97,78,4.32,RU,1603258469
308,Ust-Nera,64.57,143.2,7.3,86,46,4.54,RU,1603258470
309,Kargopol',61.51,38.95,31.66,96,96,8.21,RU,1603258470
310,Coahuayana Viejo,18.73,-103.68,79.14,86,86,2.37,MX,1603258470
311,Payo,-3.75,103.64,94.86,47,88,2.75,ID,1603258470
312,Hofn,64.25,-15.21,35.51,75,14,4.99,IS,1603258470
313,Kahului,20.89,-156.47,80.6,61,20,3.36,US,1603258196
314,Alta Floresta,-9.88,-56.09,74.44,68,34,3.65,BR,1603258471
315,Beloha,-25.17,45.05,85.86,34,0,3.8,MG,1603258471
316,Lielvārde,56.72,24.81,42.8,93,75,6.93,LV,1603258471
317,Flinders,-34.58,150.86,73.4,56,40,17.22,AU,1603258471
318,Walvis Bay,-22.96,14.51,57.99,87,0,9.17,NA,1603258472
319,San Quintín,30.48,-115.95,65.32,91,12,9.24,MX,1603258472
320,Maun,-19.98,23.42,75.2,15,0,6.93,BW,1603258472
321,Usinsk,65.99,57.53,25.2,98,100,6.38,RU,1603258472
322,Ciudad del Carmen,18.63,-91.83,79.5,84,42,7.83,MX,1603258472
323,Røros,62.57,11.38,28.4,92,75,2.24,NO,1603258473
324,Seljord,59.49,8.63,39.0,98,100,7.0,NO,1603258473
325,San Juan del Sur,11.25,-85.87,77.2,86,100,4.36,NI,1603258473
326,Castro,-24.79,-50.01,59.99,98,31,5.84,BR,1603258257
327,Sønder Bjert,55.45,9.57,54.0,100,100,6.93,DK,1603258473
328,Buraidah,26.33,43.98,66.2,37,0,6.93,SA,1603258474
329,Ulaangom,49.98,92.07,38.34,64,51,4.34,MN,1603258474
330,Shahr-e Kord,32.33,50.86,48.2,11,0,2.24,IR,1603258474
331,Quito,-0.23,-78.52,53.6,93,75,4.7,EC,1603258432
332,Dafeng,23.45,108.59,73.76,54,2,11.23,CN,1603258474
333,Roald,62.58,6.13,41.0,93,75,16.11,NO,1603258475
334,Sinop Province,41.77,34.87,62.6,72,75,11.41,TR,1603258475
335,Xinyu,27.8,114.93,66.72,70,97,3.74,CN,1603258475
336,Labuhan,-6.88,112.21,88.12,58,30,8.72,ID,1603258475
337,Manaure,11.78,-72.44,81.77,79,50,2.59,CO,1603258475
338,Hamilton,39.18,-84.53,60.01,93,75,8.05,US,1603258202
339,Vila do Maio,15.13,-23.22,78.8,83,95,12.75,CV,1603258476
340,Yulara,-25.24,130.99,100.4,8,0,17.22,AU,1603258476
341,Truckee,39.33,-120.18,48.99,52,1,0.94,US,1603258476
342,Bonavista,48.65,-53.11,60.01,85,99,13.0,CA,1603258476
343,Merauke,-8.47,140.33,82.81,77,52,15.9,ID,1603258477
344,São Filipe,14.9,-24.5,82.17,67,85,5.64,CV,1603258477
345,Bull Savanna,17.89,-77.59,75.78,88,100,9.71,JM,1603258477
346,Anloga,5.79,0.9,77.0,94,20,6.93,GH,1603258477
347,Cayenne,4.93,-52.33,75.2,100,93,9.51,GF,1603258478
348,Half Moon Bay,37.46,-122.43,66.2,55,1,1.95,US,1603258185
349,Lālmohan,22.34,90.74,77.02,90,100,5.3,BD,1603258478
350,Agadez,19.75,10.25,76.5,18,0,8.28,NE,1603258478
351,Yar-Sale,66.83,70.83,27.01,98,100,6.06,RU,1603258478
352,Santo Antônio do Içá,-3.1,-67.94,74.03,74,98,0.58,BR,1603258479
353,Lüderitz,-26.65,15.16,70.29,26,0,5.5,NA,1603258479
354,Aksarka,66.56,67.8,21.88,98,100,8.08,RU,1603258479
355,Fernie,49.5,-115.07,32.0,88,75,1.97,CA,1603258479
356,Tārūt,26.57,50.04,75.2,27,0,6.93,SA,1603258479
357,Noumea,-22.28,166.46,82.4,54,75,8.05,NC,1603258480
358,Qinzhou,21.95,108.62,75.49,58,4,19.26,CN,1603258480
359,Sawtell,-30.38,153.1,69.8,64,40,9.17,AU,1603258480
360,Paramonga,-10.67,-77.83,61.79,87,81,6.76,PE,1603258480
361,Iisalmi,63.56,27.19,30.2,86,75,8.05,FI,1603258481
362,Kieta,-6.22,155.63,83.53,69,99,3.91,PG,1603258481
363,Hoquiam,46.98,-123.89,48.99,66,1,4.7,US,1603258481
364,Singaraja,-8.11,115.09,87.57,54,12,3.91,ID,1603258481
365,Scottsbluff,41.87,-103.67,44.6,65,90,3.36,US,1603258481
366,Nicoya,10.15,-85.45,74.71,90,100,2.21,CR,1603258482
367,Ifakara,-8.13,36.68,81.88,53,85,4.09,TZ,1603258482
368,Hermagor,46.63,13.37,52.0,90,100,4.65,AT,1603258482
369,Kavaratti,10.57,72.64,84.2,74,40,5.82,IN,1603258482
370,Kavajë,41.19,19.56,41.0,93,0,2.24,AL,1603258483
371,Bhadrak,21.06,86.51,87.44,61,80,14.79,IN,1603258483
372,Yablonovo,50.85,37.36,32.0,79,71,4.47,RU,1603258483
373,Thinadhoo,0.53,72.93,82.65,80,74,10.98,MV,1603258483
374,Saldanha,-33.01,17.94,44.6,87,0,3.36,ZA,1603258484
375,Bertem,50.85,4.62,54.0,93,75,11.41,BE,1603258484
376,Meulaboh,4.14,96.13,87.98,57,71,7.14,ID,1603258484
377,Jerez,14.1,-89.75,67.19,97,100,2.44,GT,1603258484
378,Lavrentiya,65.58,-171.0,37.69,90,59,8.52,RU,1603258484
379,Bremervörde,53.48,9.13,53.6,100,90,5.82,DE,1603258485
380,Pekan,3.48,103.4,91.4,66,20,2.24,MY,1603258485
381,Morvi,22.82,70.83,84.2,83,75,8.05,IN,1603258485
382,Touros,-5.2,-35.46,73.4,94,75,4.7,BR,1603258485
383,Terney,45.05,136.61,56.91,71,100,11.34,RU,1603258485
384,Porto-Novo,6.5,2.6,80.6,88,40,6.93,BJ,1603258486
385,Tegul'det,57.31,88.17,41.38,86,100,8.75,RU,1603258486
386,Palmer,42.16,-72.33,59.0,100,90,1.34,US,1603258486
387,Iquique,-20.22,-70.14,62.6,72,90,3.36,CL,1603258486
388,Soyo,-6.13,12.37,77.41,83,99,7.85,AO,1603258487
389,Husavik,66.04,-17.34,26.6,92,90,4.7,IS,1603258487
390,Kirakira,-10.45,161.92,83.32,68,74,7.0,SB,1603258487
391,Verkhnevilyuysk,63.45,120.32,24.13,93,87,4.45,RU,1603258487
392,Lhokseumawe,5.18,97.15,85.82,67,71,5.7,ID,1603258488
393,Victoria Point,-27.58,153.3,75.0,55,3,4.0,AU,1603258488
394,Srednekolymsk,67.45,153.68,14.34,95,36,3.22,RU,1603258488
395,Saint Anthony,45.02,-93.22,33.8,86,90,3.36,US,1603258488
396,Manta,-0.95,-80.73,71.6,83,90,11.41,EC,1603258489
397,Tibagi,-24.51,-50.41,62.91,90,14,3.36,BR,1603258489
398,Khāsh,28.22,61.22,75.33,11,0,15.88,IR,1603258489
399,Baracoa,20.35,-74.5,78.58,84,95,5.97,CU,1603258489
400,Fare,-16.7,-151.02,79.63,77,4,13.11,PF,1603258489
401,Yangi Marg`ilon,40.43,71.72,66.2,29,0,6.93,UZ,1603258490
402,Paamiut,61.99,-49.67,34.59,85,99,8.9,GL,1603258490
403,Verāval,20.9,70.37,88.23,63,50,4.5,IN,1603258490
404,Antalaha,-14.9,50.28,80.33,64,100,12.5,MG,1603258490
405,Santa Ana,33.75,-117.87,68.0,82,75,3.36,US,1603258254
406,Timrå,62.49,17.33,46.0,100,75,3.36,SE,1603258490
407,Mérk,47.79,22.38,39.2,93,88,8.63,HU,1603258491
408,Keetmanshoop,-26.58,18.13,62.6,16,0,6.93,NA,1603258491
409,Kolda,12.88,-14.95,74.82,97,82,4.16,SN,1603258491
410,Pangnirtung,66.15,-65.71,22.82,94,99,2.59,CA,1603258491
411,Quebrada Larga,14.1,-86.37,71.98,89,100,1.14,HN,1603258492
412,Faya,18.39,42.45,62.6,26,0,6.93,SA,1603258492
413,Perg,48.25,14.63,42.8,100,75,6.93,AT,1603258492
414,Okhotsk,59.38,143.3,31.84,83,99,5.23,RU,1603258492
415,Kjøllefjord,70.95,27.35,35.6,93,75,2.24,NO,1603258493
416,Biltine,14.53,20.92,81.63,16,0,14.88,TD,1603258493
417,San Marcos,33.14,-117.17,66.2,77,90,3.36,US,1603258447
418,Bud,39.45,-86.18,60.01,100,90,5.82,US,1603258493
419,Dve Mogili,43.6,25.87,45.0,100,90,1.43,BG,1603258493
420,Gorshechnoye,51.52,38.04,36.25,81,73,7.99,RU,1603258494
421,Dareda,-4.22,35.55,68.34,51,86,8.72,TZ,1603258494
422,Kitimat,54.05,-128.65,41.0,94,99,1.12,CA,1603258494
423,Kholm-Zhirkovskiy,55.52,33.47,34.84,94,100,9.91,RU,1603258494
424,Ambilobe,-13.2,49.05,91.26,36,81,4.14,MG,1603258494
425,Nha Trang,12.25,109.18,82.4,94,75,10.29,VN,1603258495
426,Mundo Nuevo (Ojo de Agua),18.7,-95.5,77.5,82,11,7.25,MX,1603258495
427,Hualmay,-11.1,-77.61,62.01,85,58,7.52,PE,1603258495
428,Kosa,59.94,55.0,33.24,92,92,4.92,RU,1603258495
429,Kasama,-10.21,31.18,71.56,52,96,7.65,ZM,1603258195
430,Qiongshan,20.01,110.35,75.2,69,75,11.18,CN,1603258196
431,Suntar,62.14,117.63,24.82,90,82,6.06,RU,1603258496
432,Lahat,-3.8,103.53,92.43,51,86,3.36,ID,1603258496
433,Haines Junction,60.75,-137.51,26.01,90,100,3.18,CA,1603258496
434,Saint-André-les-Vergers,48.29,4.05,59.0,67,100,11.41,FR,1603258196
435,Calvià,39.57,2.51,71.01,77,86,5.82,ES,1603258197
436,Fonte Boa,-2.5,-66.27,74.35,86,88,1.92,BR,1603258497
437,Pitimbu,-7.47,-34.81,73.4,100,75,5.82,BR,1603258497
438,Hearst,49.68,-83.67,31.48,91,100,6.71,CA,1603258497
439,Marabba,12.35,32.18,84.49,45,0,5.44,SD,1603258198
440,Jacmel,18.23,-72.53,78.8,74,95,9.17,HT,1603258497
441,Los Llanos de Aridane,28.66,-17.92,73.4,49,81,11.41,ES,1603258498
442,Kattivākkam,13.22,80.32,86.0,74,75,9.17,IN,1603258498
443,Sémbé,1.65,14.58,72.66,89,58,3.31,CG,1603258498
444,Bandundu Province,-3.32,17.37,71.29,97,100,6.08,CD,1603258498
445,Nacala,-14.54,40.67,85.73,52,0,7.43,MZ,1603258498
446,Chapais,49.78,-74.85,30.2,100,90,2.24,CA,1603258361
447,Nara,34.69,135.8,75.2,47,40,10.29,JP,1603258200
448,Clyde River,70.47,-68.59,26.6,79,90,2.24,CA,1603258499
449,Margate,51.38,1.39,57.0,95,100,4.0,GB,1603258499
450,Nouadhibou,20.93,-17.03,75.2,64,0,17.22,MR,1603258500
451,Barra de Tecoanapa,16.52,-98.75,79.54,86,100,4.7,MX,1603258500
452,Kaeo,-35.1,173.78,64.99,69,99,5.01,NZ,1603258500
453,Luau,-10.71,22.22,71.4,70,13,4.85,AO,1603258204
454,Sinnamary,5.38,-52.95,79.16,84,100,11.16,GF,1603258500
455,Diapaga,12.07,1.79,76.01,69,27,5.93,BF,1603258501
456,Talara,-4.58,-81.27,66.11,78,32,14.23,PE,1603258501
457,Hong Kong,22.29,114.16,80.01,63,26,1.01,HK,1603258360
458,Gravdal,68.12,13.5,37.4,64,40,11.41,NO,1603258501
459,Bubaque,11.28,-15.83,81.48,80,30,9.51,GW,1603258502
460,Ayan,56.45,138.17,37.99,77,98,14.36,RU,1603258502
461,Mehamn,71.04,27.85,35.6,85,75,9.17,NO,1603258208
462,Funadhoo,6.15,73.27,82.47,78,57,13.09,MV,1603258502
463,Gorontalo,0.54,123.06,88.48,49,42,7.78,ID,1603258503
464,Olkhovka,53.21,60.61,42.35,62,13,10.65,RU,1603258503
465,Portland,45.52,-122.68,57.2,67,90,6.93,US,1603257931
466,Navrongo,10.9,-1.09,76.59,76,10,4.52,GH,1603258503
467,Ipixuna,-1.76,-48.8,75.2,94,20,5.82,BR,1603258210
468,Rawson,-43.3,-65.1,50.36,59,2,12.5,AR,1603258504
469,Olinda,-8.01,-34.86,77.0,78,75,6.93,BR,1603258504
470,Kampot,10.62,104.18,89.6,88,40,4.7,KH,1603258495
471,Boyolangu,-8.12,111.89,81.14,80,77,9.53,ID,1603258504
472,Camabatela,-8.19,15.38,64.85,98,100,5.14,AO,1603258505
473,Port Lincoln,-34.73,135.87,65.23,61,77,10.89,AU,1603258212
474,Narsaq,60.92,-46.05,32.0,92,100,1.12,GL,1603258505
475,Trat,12.5,102.5,87.8,66,20,5.82,TH,1603258505
476,Gogrial,8.53,28.1,78.89,74,46,4.0,SS,1603258505
477,Bilibino,68.05,166.44,21.34,94,99,2.21,RU,1603258506
478,Santa Cruz de La Palma,28.68,-17.76,73.4,49,98,11.41,ES,1603258506
479,Katsuura,35.13,140.3,70.0,56,20,11.41,JP,1603258214
480,Deputatsky,69.3,139.9,6.75,94,97,1.43,RU,1603258506
481,Sopot,54.44,18.56,48.2,87,100,8.05,PL,1603258506
482,Longonjo,-12.91,15.25,67.64,72,31,3.06,AO,1603258506
483,Buala,-8.14,159.59,84.67,68,83,4.54,SB,1603258507
484,Itarantim,-15.66,-40.07,68.14,95,57,1.83,BR,1603258507
485,Nabire,-3.37,135.48,79.41,84,100,3.67,ID,1603258217
486,Orlik,52.52,99.83,29.5,84,39,3.83,RU,1603258217
487,Nemuro,43.32,145.57,57.2,67,40,12.75,JP,1603258507
488,Harper,4.38,-7.72,76.41,83,70,4.36,LR,1603258508
489,Vanavara,60.34,102.28,29.71,95,100,5.91,RU,1603258508
490,Filingué,14.35,3.32,84.47,30,0,5.26,NE,1603258508
491,Cairns,-16.92,145.77,87.01,45,2,10.29,AU,1603258508
492,Izumo,35.37,132.77,73.4,49,75,9.17,JP,1603258219
493,Acapulco de Juárez,16.86,-99.89,81.63,83,97,4.23,MX,1603258219
494,Arrondissement de Mont-de-Marsan,44.0,-0.67,70.0,56,86,4.7,FR,1603258219
495,Skibbereen,51.55,-9.27,44.6,100,40,3.36,IE,1603258509
496,Progreso,21.28,-89.67,77.0,94,75,4.7,MX,1603258220
497,Aklavik,68.22,-135.01,23.0,85,75,13.87,CA,1603258509
498,Sur,22.57,59.53,85.17,40,0,11.9,OM,1603258510
499,Mossamedes,-15.2,12.15,70.0,84,100,9.71,AO,1603258510
500,Morristown,36.21,-83.29,61.0,93,1,3.36,US,1603258510
501,Kintampo,8.06,-1.73,70.12,98,55,3.6,GH,1603258222
502,Nizwá,22.93,57.53,88.65,8,0,1.92,OM,1603258511
503,Samarai,-10.62,150.67,80.98,81,81,10.98,PG,1603258222
504,Capitán Bado,-23.27,-55.53,70.57,71,6,5.23,PY,1603258511
505,Rodolfo Sánchez Taboada,31.72,-116.57,66.0,87,31,1.01,MX,1603258511
506,Broome,42.25,-75.83,51.01,100,90,4.7,US,1603258224
507,Baykit,61.67,96.37,30.24,94,100,3.89,RU,1603258224
508,Lodja,-3.48,23.43,73.13,92,92,0.87,CD,1603258512
509,Meridian,43.61,-116.39,52.0,87,48,1.59,US,1603258404
510,Kiryat Gat,31.61,34.76,73.99,100,6,1.99,IL,1603258443
511,Aras,42.56,-2.36,64.4,55,40,11.41,ES,1603258226
512,Esim,4.87,-2.24,77.23,88,96,7.07,GH,1603258513
513,Simbahan,6.3,120.58,84.13,75,97,15.12,PH,1603258227
514,Sidi Ben Nour,35.53,10.92,62.6,93,0,3.36,TN,1603258227
515,Dingle,11.0,122.67,84.34,78,56,16.84,PH,1603258514
516,Kyzyl-Suu,42.34,78.01,55.54,33,0,4.83,KG,1603258514
517,Patacamaya,-17.23,-67.92,43.9,78,94,8.25,BO,1603258514
518,Dombås,62.07,9.12,27.68,94,91,0.94,NO,1603258229
519,Majene,-3.54,118.97,87.96,58,97,8.48,ID,1603258229
520,Arlit,18.74,7.39,83.62,14,0,6.51,NE,1603258515
521,Denpasar,-8.65,115.22,86.0,74,40,13.87,ID,1603258336
522,Polyarny,69.2,33.45,24.8,100,90,2.24,RU,1603258515
523,Jinchang,38.5,102.17,62.91,23,0,10.65,CN,1603258515
524,Lithakia,37.72,20.83,64.4,59,20,9.17,GR,1603258515
525,Great Yarmouth,52.61,1.73,57.99,99,100,5.99,GB,1603258231
526,Grajaú,-5.82,-46.14,75.69,76,32,5.5,BR,1603258516
527,Manbij,36.53,37.95,59.0,62,0,9.35,SY,1603258231
528,Chute-aux-Outardes,49.12,-68.4,30.2,100,1,4.7,CA,1603258516
529,Elizabeth City,36.29,-76.25,64.0,98,100,3.85,US,1603258355
530,Phan Thiet,10.93,108.1,83.66,77,100,7.16,VN,1603258516
531,Opuwo,-18.06,13.84,72.75,21,0,2.57,NA,1603258517
532,Mālpura,26.28,75.38,90.9,17,9,5.55,IN,1603258232
533,Salalah,17.02,54.09,86.0,48,2,2.24,OM,1603258517
534,Cabo Rojo,18.09,-67.15,78.01,95,10,1.99,PR,1603258233
535,Perth,-31.93,115.83,77.0,31,35,12.75,AU,1603258303
536,Kenora,49.82,-94.43,28.4,92,90,9.17,CA,1603258488
537,North Platte,41.12,-100.77,46.4,70,40,3.36,US,1603258518
538,Griffith,41.53,-87.42,53.6,100,90,13.87,US,1603258518
539,Huilong,31.81,121.66,66.0,81,100,8.14,CN,1603258519
540,Vestmanna,62.16,-7.17,39.2,69,3,9.17,FO,1603258519
541,Las Vegas,36.17,-115.14,73.99,21,1,5.82,US,1603258414
542,Hay River,60.82,-115.8,24.8,68,75,10.29,CA,1603258519
543,Santa Maria,-29.68,-53.81,67.23,76,80,11.34,BR,1603258464
544,Hurghada,27.26,33.81,77.0,61,0,6.93,EG,1603258520
545,Brejo Santo,-7.49,-38.99,65.95,68,0,1.21,BR,1603258237
546,Dinagat,9.96,125.59,84.49,74,100,6.58,PH,1603258237
